title,type,author,hits,country,url
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
To My Dear and Loving Husband,Poem,Anne Bradstreet,20,United States,https://www.poets.org/poetsorg/poem/my-dear-and-loving-husband
Verses Upon the Burning of Our House,Poem,Anne Bradstreet,13,United States,https://www.poets.org/poetsorg/poem/verses-upon-burning-our-house
